#node	identifier	node_degree
IFNB1	9606.ENSP00000369581	5
IGF1	9606.ENSP00000376637	13
IGF1R	9606.ENSP00000497069	14
IGF2	9606.ENSP00000391826	3
IKBKB	9606.ENSP00000430684	16
IKBKG	9606.ENSP00000483825	11
IL2	9606.ENSP00000226730	16
IL2RA	9606.ENSP00000369293	15
IL2RB	9606.ENSP00000216223	16
IL2RG	9606.ENSP00000363318	21
IL3	9606.ENSP00000296870	11
IL3RA	9606.ENSP00000327890	13
IL4	9606.ENSP00000231449	5
IL4R	9606.ENSP00000379111	5
IL6	9606.ENSP00000385675	3
IL6R	9606.ENSP00000357470	4
IL7	9606.ENSP00000263851	9
IL7R	9606.ENSP00000306157	9
INS	9606.ENSP00000380432	10
INSR	9606.ENSP00000303830	8
IRS1	9606.ENSP00000304895	28
ITGA1	9606.ENSP00000282588	27
ITGA10	9606.ENSP00000358310	23
ITGA11	9606.ENSP00000327290	23
ITGA2	9606.ENSP00000296585	35
ITGA2B	9606.ENSP00000262407	36
ITGA3	9606.ENSP00000315190	33
ITGA4	9606.ENSP00000380227	23
ITGA5	9606.ENSP00000293379	25
ITGA6	9606.ENSP00000386896	32
ITGA7	9606.ENSP00000452120	28
ITGA8	9606.ENSP00000367316	22
ITGA9	9606.ENSP00000264741	22
ITGAV	9606.ENSP00000261023	38
ITGB1	9606.ENSP00000379350	49
ITGB3	9606.ENSP00000452786	48
ITGB4	9606.ENSP00000200181	29
ITGB5	9606.ENSP00000296181	24
ITGB6	9606.ENSP00000283249	22
ITGB7	9606.ENSP00000267082	21
ITGB8	9606.ENSP00000222573	22
JAK1	9606.ENSP00000499900	50
JAK2	9606.ENSP00000371067	46
JAK3	9606.ENSP00000432511	33
KDR	9606.ENSP00000263923	14
KIT	9606.ENSP00000288135	11
KITLG	9606.ENSP00000495951	9
KRAS	9606.ENSP00000256078	21
LAMA1	9606.ENSP00000374309	20
LAMA2	9606.ENSP00000400365	18
LAMA3	9606.ENSP00000324532	16
LAMA4	9606.ENSP00000230538	15
LAMA5	9606.ENSP00000252999	17
LAMB1	9606.ENSP00000222399	21
LAMB2	9606.ENSP00000307156	19
LAMB3	9606.ENSP00000375778	16
LAMB4	9606.ENSP00000373433	9
LAMC1	9606.ENSP00000258341	21
LAMC2	9606.ENSP00000264144	15
LAMC3	9606.ENSP00000354360	14
LOC102723407	9606.ENSP00000478289	6
LPAR1	9606.ENSP00000363553	10
LPAR2	9606.ENSP00000443256	8
LPAR3	9606.ENSP00000359643	8
LPAR4	9606.ENSP00000408205	8
LPAR5	9606.ENSP00000393098	8
LPAR6	9606.ENSP00000367691	8
MAGI1	9606.ENSP00000385450	2
MAGI2	9606.ENSP00000346151	2
MAP2K1	9606.ENSP00000302486	17
MAP2K2	9606.ENSP00000262948	14
MAPK1	9606.ENSP00000215832	23
MAPK3	9606.ENSP00000263025	21
MCL1	9606.ENSP00000358022	4
MDM2	9606.ENSP00000258149	15
MET	9606.ENSP00000317272	12
MLST8	9606.ENSP00000457870	5
MTCP1	9606.ENSP00000358488	3
MTOR	9606.ENSP00000354558	17
MYC	9606.ENSP00000478887	10
NFKB1	9606.ENSP00000226574	6
NGF	9606.ENSP00000358525	11
NGFR	9606.ENSP00000172229	10
NOS3	9606.ENSP00000297494	4
NR4A1	9606.ENSP00000440864	3
NRAS	9606.ENSP00000358548	17
NTF3	9606.ENSP00000397297	9
