#node	identifier	node_degree
SF3A1	9606.ENSP00000215793	18
SF3B1	9606.ENSP00000335321	24
SF3B2	9606.ENSP00000318861	18
SF3B3	9606.ENSP00000305790	20
SFPQ	9606.ENSP00000349748	10
SH3BGRL3	9606.ENSP00000270792	0
SH3BP5	9606.ENSP00000373301	0
SH3GLB2	9606.ENSP00000361634	0
SH3TC1	9606.ENSP00000245105	0
SHANK3	9606.ENSP00000489407	2
SLC25A3	9606.ENSP00000228318	1
SLC25A37	9606.ENSP00000429200	0
SLC25A5	9606.ENSP00000360671	5
SLC25A6	9606.ENSP00000370808	1
SLC2A3	9606.ENSP00000075120	0
SLC38A2	9606.ENSP00000256689	0
SLC44A2	9606.ENSP00000466664	0
SLC4A1	9606.ENSP00000262418	1
SLTM	9606.ENSP00000369887	0
SMAD1	9606.ENSP00000305769	2
SMARCA4	9606.ENSP00000343896	45
SMIM3	9606.ENSP00000436897	0
SMPD4	9606.ENSP00000386531	0
SNRNP200	9606.ENSP00000317123	13
SNRNP70	9606.ENSP00000472998	18
SNX2	9606.ENSP00000368831	3
SOCS2	9606.ENSP00000481249	3
SOD2	9606.ENSP00000446252	2
SON	9606.ENSP00000348984	2
SORBS3	9606.ENSP00000240123	5
SPPL2B	9606.ENSP00000478298	0
SPTAN1	9606.ENSP00000487444	11
SPTBN1	9606.ENSP00000349259	10
SREK1	9606.ENSP00000334538	10
SRGN	9606.ENSP00000242465	0
SRP14	9606.ENSP00000267884	79
SRP9	9606.ENSP00000305230	78
SRRM1	9606.ENSP00000326261	20
SRRM2	9606.ENSP00000301740	22
SRRT	9606.ENSP00000480421	13
SRSF10	9606.ENSP00000420195	32
SRSF11	9606.ENSP00000359988	38
SRSF2	9606.ENSP00000376276	34
SRSF3	9606.ENSP00000362820	35
SRSF5	9606.ENSP00000452123	29
SRSF6	9606.ENSP00000244020	32
SRSF7	9606.ENSP00000325905	32
SSBP2	9606.ENSP00000483921	0
ST13	9606.ENSP00000216218	2
STAG3	9606.ENSP00000477973	11
STAT6	9606.ENSP00000300134	1
STK24	9606.ENSP00000365730	6
STK25	9606.ENSP00000325748	3
STMN1	9606.ENSP00000410452	3
STT3B	9606.ENSP00000295770	31
STX16	9606.ENSP00000360183	1
SUMO2	9606.ENSP00000405965	26
SUN2	9606.ENSP00000385616	2
SYVN1	9606.ENSP00000366395	7
TAF15	9606.ENSP00000474096	5
TAF1D	9606.ENSP00000410409	3
TAGLN2	9606.ENSP00000357076	2
TAPT1	9606.ENSP00000385347	0
TARBP1	9606.ENSP00000040877	0
TARDBP	9606.ENSP00000240185	6
TCERG1	9606.ENSP00000296702	24
TCF25	9606.ENSP00000263346	1
TCF3	9606.ENSP00000262965	7
TCF4	9606.ENSP00000381382	9
TCIRG1	9606.ENSP00000265686	1
TCL1A	9606.ENSP00000451506	2
TCL1B	9606.ENSP00000343223	1
TCP1	9606.ENSP00000317334	21
TERF2	9606.ENSP00000254942	21
TIA1	9606.ENSP00000401371	5
TIAL1	9606.ENSP00000358089	6
TKT	9606.ENSP00000391481	0
TLE5	9606.ENSP00000221561	0
TLN1	9606.ENSP00000316029	10
TMBIM6	9606.ENSP00000389277	0
TMC6	9606.ENSP00000465261	0
TMEM123	9606.ENSP00000381204	0
TMEM259	9606.ENSP00000349087	1
TMEM94	9606.ENSP00000364397	0
TMPO	9606.ENSP00000266732	10
TMSB10	9606.ENSP00000233143	0
TMSB4X	9606.ENSP00000370010	2
TOP2B	9606.ENSP00000264331	4
TP53INP1	9606.ENSP00000344215	1
TPM3	9606.ENSP00000498577	12
TPM4	9606.ENSP00000494125	13
TPT1	9606.ENSP00000477781	19
TRA2A	9606.ENSP00000297071	13
TRA2B	9606.ENSP00000416959	31
TRABD	9606.ENSP00000379173	1
TRIM22	9606.ENSP00000369299	0
TRIM28	9606.ENSP00000253024	29
TSC2	9606.ENSP00000219476	4
TSC22D3	9606.ENSP00000361458	0
TSPAN14	9606.ENSP00000361231	2
TTC7A	9606.ENSP00000378320	0
TUBA1A	9606.ENSP00000439020	9
TUBA1B	9606.ENSP00000336799	8
TUBB	9606.ENSP00000339001	53
TXNIP	9606.ENSP00000462521	5
U2AF1	9606.ENSP00000291552	11
U2AF2	9606.ENSP00000307863	32
UBA1	9606.ENSP00000338413	7
UBA52	9606.ENSP00000388107	165
UBA7	9606.ENSP00000333266	5
UBALD2	9606.ENSP00000331298	0
UBAP2L	9606.ENSP00000389445	6
UBB	9606.ENSP00000478771	73
UBC	9606.ENSP00000441543	79
UBE2D3	9606.ENSP00000349722	13
UBXN4	9606.ENSP00000272638	1
UCP2	9606.ENSP00000499695	0
UHRF1	9606.ENSP00000479617	32
UHRF2	9606.ENSP00000276893	9
USF1	9606.ENSP00000357000	3
USF2	9606.ENSP00000222305	1
USP22	9606.ENSP00000261497	20
USP7	9606.ENSP00000343535	22
VAT1L	9606.ENSP00000303129	0
VCP	9606.ENSP00000351777	18
VIM	9606.ENSP00000446007	8
VPREB1	9606.ENSP00000385361	1
VPREB3	9606.ENSP00000248948	1
VPS51	9606.ENSP00000279281	1
WAC	9606.ENSP00000346986	13
WASF2	9606.ENSP00000483313	11
WDR1	9606.ENSP00000427687	0
WDR6	9606.ENSP00000378857	0
WIPF1	9606.ENSP00000376330	10
WSB1	9606.ENSP00000262394	0
XAF1	9606.ENSP00000354822	1
XBP1	9606.ENSP00000216037	78
XPO1	9606.ENSP00000384863	8
XRCC5	9606.ENSP00000375978	13
XRCC6	9606.ENSP00000352257	13
YBX1	9606.ENSP00000361626	48
YBX3	9606.ENSP00000228251	3
YPEL5	9606.ENSP00000368835	0
YTHDC1	9606.ENSP00000463982	5
YWHAE	9606.ENSP00000264335	10
YWHAQ	9606.ENSP00000371267	11
YWHAZ	9606.ENSP00000379287	17
ZCCHC7	9606.ENSP00000443113	1
ZEB2	9606.ENSP00000487174	5
ZFAND5	9606.ENSP00000366161	1
ZFP36	9606.ENSP00000471239	4
ZFP36L1	9606.ENSP00000337386	2
ZFP36L2	9606.ENSP00000282388	3
ZMIZ1	9606.ENSP00000334474	0
ZNF107	9606.ENSP00000483720	0
ZNF207	9606.ENSP00000378165	3
ZRANB2	9606.ENSP00000359958	4
