#node	identifier	node_degree
DDX39B	9606.ENSP00000416269	12
DDX3X	9606.ENSP00000494040	13
DDX3Y	9606.ENSP00000353284	0
DDX42	9606.ENSP00000464050	7
DDX5	9606.ENSP00000225792	30
DEFA1B	9606.ENSP00000372136	1
DEFA3	9606.ENSP00000328359	1
DEK	9606.ENSP00000498653	3
DENND3	9606.ENSP00000428714	0
DENND4B	9606.ENSP00000354597	0
DGKA	9606.ENSP00000377703	0
DGKD	9606.ENSP00000264057	0
DHX15	9606.ENSP00000336741	13
DMTF1	9606.ENSP00000378193	0
DNAJB6	9606.ENSP00000262177	2
DNM2	9606.ENSP00000373905	11
DNMT1	9606.ENSP00000352516	41
DNTT	9606.ENSP00000360216	0
DOK3	9606.ENSP00000349727	0
DPEP1	9606.ENSP00000376807	0
DPP7	9606.ENSP00000360635	0
DUSP1	9606.ENSP00000239223	0
DUSP6	9606.ENSP00000279488	0
EDEM1	9606.ENSP00000256497	2
EEF1A1	9606.ENSP00000339063	92
EEF1B2	9606.ENSP00000376055	5
EEF1D	9606.ENSP00000410059	4
EEF1G	9606.ENSP00000331901	12
EEF2	9606.ENSP00000307940	87
EGFL7	9606.ENSP00000360764	0
EIF1	9606.ENSP00000419449	46
EIF2AK3	9606.ENSP00000307235	8
EIF2S3	9606.ENSP00000253039	48
EIF3B	9606.ENSP00000354125	50
EIF3C	9606.ENSP00000332604	48
EIF3D	9606.ENSP00000216190	46
EIF3E	9606.ENSP00000220849	50
EIF3F	9606.ENSP00000431800	49
EIF3G	9606.ENSP00000253108	46
EIF3H	9606.ENSP00000429931	66
EIF3L	9606.ENSP00000499067	47
EIF3M	9606.ENSP00000436049	46
EIF4A1	9606.ENSP00000293831	51
EIF4A2	9606.ENSP00000326381	13
EIF4B	9606.ENSP00000388806	11
EIF4G2	9606.ENSP00000433664	4
EIF4H	9606.ENSP00000265753	5
EIF5	9606.ENSP00000216554	41
EIF5A	9606.ENSP00000336702	77
ELF1	9606.ENSP00000239882	1
